order_id,date_id,order_date,customer_id,channel_id,promo_id,subtotal,discount_amount,tax_rate,total
81,27,2022-01-27,705,3,,541.26,0,0.065,576.44
82,27,2022-01-27,24,1,1,115.67,12.85,0.065,123.19
83,28,2022-01-28,1114,2,,64.15,0,0.06,68
84,28,2022-01-28,1361,1,,775.34,0,0.0685,828.45
85,28,2022-01-28,1662,1,,586.93,0,0.04,610.41
86,29,2022-01-29,356,2,1,797.73,88.62,0.05125,838.61
87,29,2022-01-29,1896,1,1,20.39,2.27,0.08,22.02
88,29,2022-01-29,1805,1,,80.43,0,0.0625,85.46
89,30,2022-01-30,1141,2,,81.21,0,0.0485,85.15
90,30,2022-01-30,809,1,,322.92,0,0.04,335.84
91,30,2022-01-30,1586,1,,476.17,0,0.0685,508.79
92,31,2022-01-31,411,1,,1559.62,0,0.0725,1672.69
93,31,2022-01-31,1335,3,,190.3,0,0.06,201.72
94,31,2022-01-31,669,1,,810.14,0,0.056,855.51
95,32,2022-02-01,99,2,,1202.45,0,0.06875,1285.12
96,32,2022-02-01,353,2,,1170.13,0,0,1170.13
97,32,2022-02-01,963,2,,647.62,0,0.07,692.95
98,33,2022-02-02,1721,3,,1006.63,0,0.0485,1055.45
99,33,2022-02-02,555,1,,420.41,0,0.08,454.04
100,33,2022-02-02,1335,2,,570.92,0,0.06,605.18
101,34,2022-02-03,1292,1,,616.84,0,0.0625,655.39
102,34,2022-02-03,1773,1,,1632.96,0,0.065,1739.1
103,34,2022-02-03,1725,2,,280.06,0,0.0685,299.24
104,35,2022-02-04,1667,3,,487.98,0,0.0625,518.48
105,35,2022-02-04,1655,2,,94.9,0,0.04,98.7
106,35,2022-02-04,563,1,,985.54,0,0,985.54
107,36,2022-02-05,339,2,,618.23,0,0.0575,653.78
108,36,2022-02-05,1317,3,,63.08,0,0.04,65.6
109,36,2022-02-05,437,3,,526.6,0,0.0445,550.03
110,37,2022-02-06,378,2,,1318.01,0,0.06875,1408.62
111,37,2022-02-06,1472,2,,459.53,0,0.07,491.7
112,37,2022-02-06,949,1,,245.18,0,0.0625,260.5
113,38,2022-02-07,297,1,,424,0,0.07,453.68
114,38,2022-02-07,1316,3,,492.51,0,0.06875,526.37
115,38,2022-02-07,280,1,,670.31,0,0.0575,708.85
116,39,2022-02-08,1934,3,,412.28,0,0.0575,435.99
117,39,2022-02-08,1881,3,,411.14,0,0.0575,434.78
118,39,2022-02-08,293,3,,753.97,0,0.07,806.75
119,40,2022-02-09,1968,2,,72.4,0,0.056,76.45
120,40,2022-02-09,178,2,,933.99,0,0.065,994.7
121,40,2022-02-09,1677,3,,37.56,0,0.06875,40.14
122,41,2022-02-10,1896,2,,348.36,0,0.08,376.23
123,41,2022-02-10,861,1,2,224.89,39.69,0.0685,240.29
124,41,2022-02-10,1680,3,2,333.21,58.79,0.065,354.87
125,42,2022-02-11,1645,2,,193.05,0,0.0625,205.12
126,42,2022-02-11,1550,3,,41.69,0,0.06,44.19
127,42,2022-02-11,1167,3,2,192.81,34.02,0.056,203.61
128,43,2022-02-12,1150,3,2,269.59,47.57,0.056,284.69
129,43,2022-02-12,1324,2,,616.96,0,0.0725,661.69
130,43,2022-02-12,1757,1,,83.42,0,0.08,90.09
131,44,2022-02-13,411,2,2,1184.96,209.11,0.0725,1270.87
132,44,2022-02-13,1818,2,,558.36,0,0.065,594.65
133,44,2022-02-13,1784,2,2,52.56,9.27,0.0475,55.06
134,45,2022-02-14,1466,2,,823.16,0,0.0685,879.55
135,45,2022-02-14,630,2,,223.32,0,0.04,232.25
136,45,2022-02-14,854,1,,166.84,0,0.06,176.85
137,46,2022-02-15,984,3,,682.43,0,0.07,730.2
138,46,2022-02-15,1449,1,,309.81,0,0.08,334.59
139,46,2022-02-15,1399,1,,287.04,0,0.045,299.96
140,47,2022-02-16,939,2,,261.91,0,0.0725,280.9
141,47,2022-02-16,1623,1,,260.34,0,0.06875,278.24
142,47,2022-02-16,429,1,,1353.93,0,0.065,1441.94
143,48,2022-02-17,798,1,,50.67,0,0.0575,53.58
144,48,2022-02-17,311,1,,594.34,0,0.06,630
145,48,2022-02-17,293,1,,241.5,0,0.07,258.41
146,49,2022-02-18,47,2,,1158.34,0,0.045,1210.47
147,49,2022-02-18,636,2,,372,0,0,372
148,49,2022-02-18,1169,2,,68.4,0,0.0725,73.36
149,50,2022-02-19,247,2,,427.24,0,0.08,461.42
150,50,2022-02-19,546,3,,209.78,0,0.07,224.46
151,50,2022-02-19,1331,2,,557.5,0,0.05125,586.07
152,51,2022-02-20,1368,2,,399.69,0,0.0635,425.07
153,51,2022-02-20,1115,1,,78.42,0,0.065,83.52
154,51,2022-02-20,1416,1,,188.05,0,0.0485,197.17
155,52,2022-02-21,911,3,,284.13,0,0,284.13
156,52,2022-02-21,604,1,,56.83,0,0.0635,60.44
157,52,2022-02-21,1965,1,,723,0,0.0485,758.07
158,53,2022-02-22,1828,2,,757.51,0,0.0625,804.85
159,53,2022-02-22,1093,1,,68.4,0,0.06,72.5
160,53,2022-02-22,786,2,,439.17,0,0.06,465.52
161,54,2022-02-23,1698,1,,551.76,0,0.045,576.59
162,54,2022-02-23,389,2,,919.72,0,0,919.72
163,54,2022-02-23,1114,2,,1331.97,0,0.06,1411.89
164,55,2022-02-24,1009,1,,212.61,0,0.0725,228.02
165,55,2022-02-24,1010,1,,61.53,0,0.0625,65.38
166,55,2022-02-24,1791,1,,179.54,0,0.0625,190.76
167,56,2022-02-25,1483,2,,132.59,0,0,132.59
168,56,2022-02-25,1702,3,,851.38,0,0.06,902.46
169,56,2022-02-25,1662,2,,231.58,0,0.04,240.84
170,57,2022-02-26,1446,1,,545.17,0,0.06,577.88
171,57,2022-02-26,1010,2,,50.53,0,0.0625,53.69
172,57,2022-02-26,727,1,,649.63,0,0.0575,686.98
173,58,2022-02-27,1309,1,,704.54,0,0.0725,755.62
174,58,2022-02-27,472,2,,691.66,0,0.0725,741.81
175,58,2022-02-27,1747,3,,753.85,0,0.0685,805.49
176,59,2022-02-28,610,3,,126.76,0,0,126.76
177,59,2022-02-28,1471,2,,739.74,0,0.06875,790.6
178,59,2022-02-28,390,1,,1233.57,0,0.06,1307.58
179,60,2022-03-01,802,1,,63.03,0,0.07,67.44
180,60,2022-03-01,1291,2,,217.61,0,0.0445,227.29
181,60,2022-03-01,167,1,,919.89,0,0.0445,960.83
182,60,2022-03-01,674,1,,88.22,0,0.065,93.95
183,61,2022-03-02,1604,3,,716.67,0,0.065,763.25
184,61,2022-03-02,198,2,,594.16,0,0.06875,635.01
185,61,2022-03-02,1371,1,,562.65,0,0.056,594.16
186,61,2022-03-02,1291,2,,425.98,0,0.0445,444.94
187,62,2022-03-03,1607,1,,166.78,0,0.0685,178.2
188,62,2022-03-03,291,3,,804.52,0,0.0635,855.61
189,62,2022-03-03,466,2,,884.33,0,0.0635,940.48
190,62,2022-03-03,1831,3,,83.43,0,0.06,88.44
191,63,2022-03-04,1706,1,,370.07,0,0.05125,389.04
192,63,2022-03-04,7,1,,183.95,0,0.0635,195.63
193,63,2022-03-04,1317,2,,505.32,0,0.04,525.53
194,63,2022-03-04,1663,1,,423.73,0,0.0625,450.21
195,64,2022-03-05,1759,3,,177.4,0,0.0635,188.66
196,64,2022-03-05,1235,2,,774.08,0,0.056,817.43
197,64,2022-03-05,1436,2,,112.36,0,0.06,119.1
198,64,2022-03-05,1393,2,,38.47,0,0.04,40.01
199,65,2022-03-06,1102,2,,339.2,0,0.065,361.25
200,65,2022-03-06,1201,1,,520.32,0,0.06,551.54
201,65,2022-03-06,483,2,,656.44,0,0.0635,698.12
202,65,2022-03-06,295,3,,1499.9,0,0.0725,1608.64
203,66,2022-03-07,965,2,,156.69,0,0.0485,164.29
204,66,2022-03-07,1977,1,,349.91,0,0.0625,371.78
205,66,2022-03-07,641,3,,383.22,0,0.06875,409.57
206,66,2022-03-07,1114,2,,1392.93,0,0.06,1476.51
207,67,2022-03-08,979,1,,178.19,0,0.065,189.77
208,67,2022-03-08,1332,1,,1169.57,0,0.0625,1242.67
209,67,2022-03-08,1906,2,,1684.43,0,0,1684.43
210,67,2022-03-08,119,1,,584.42,0,0.045,610.72
211,68,2022-03-09,1931,1,,203.25,0,0.0725,217.99
212,68,2022-03-09,857,3,,68.78,0,0.0685,73.49
213,68,2022-03-09,31,2,,720.75,0,0.0625,765.8
214,68,2022-03-09,100,2,,1602.01,0,0.06,1698.13
215,69,2022-03-10,696,2,,709.07,0,0.045,740.98
216,69,2022-03-10,882,2,,662.96,0,0.0625,704.4
217,69,2022-03-10,660,2,,151.08,0,0.0725,162.03
218,69,2022-03-10,385,1,,935.77,0,0.0445,977.41
219,70,2022-03-11,1481,1,,1536.92,0,0.05125,1615.69
220,70,2022-03-11,384,2,,1960.04,0,0.0575,2072.74
221,70,2022-03-11,425,2,,909.05,0,0.0625,965.87
222,70,2022-03-11,637,1,,66.17,0,0.065,70.47
223,71,2022-03-12,1642,2,,306.06,0,0.0635,325.49
224,71,2022-03-12,1404,3,,454.23,0,0.0685,485.34
225,71,2022-03-12,111,1,,664.18,0,0.06,704.03
226,71,2022-03-12,952,3,,1254.46,0,0.0685,1340.39
227,72,2022-03-13,1870,1,,329.34,0,0.0685,351.9
228,72,2022-03-13,1802,3,,990.18,0,0.06,1049.59
229,72,2022-03-13,662,1,,312.44,0,0.065,332.75
230,72,2022-03-13,233,1,,1594.4,0,0.0625,1694.05
231,73,2022-03-14,843,1,,263.76,0,0.04,274.31
232,73,2022-03-14,1032,1,,225.24,0,0.045,235.38
233,73,2022-03-14,956,1,,144.94,0,0.065,154.36
234,73,2022-03-14,629,2,,235.05,0,0.0685,251.15
235,74,2022-03-15,946,2,,89.33,0,0.05125,93.91
236,74,2022-03-15,1562,1,,780.48,0,0.0575,825.36
237,74,2022-03-15,316,1,,622.2,0,0.0725,667.31
238,74,2022-03-15,748,1,,126.29,0,0.0685,134.94
239,75,2022-03-16,1634,2,,1609.31,0,0.045,1681.73
240,75,2022-03-16,878,1,,35.66,0,0.06,37.8
241,75,2022-03-16,1002,1,,250.81,0,0.05125,263.66
242,75,2022-03-16,618,1,,219.26,0,0.0625,232.96
243,76,2022-03-17,1377,1,,257.74,0,0.0625,273.85
244,76,2022-03-17,444,2,,15.1,0,0,15.1
245,76,2022-03-17,1771,2,,180.14,0,0.0485,188.88
246,76,2022-03-17,225,3,,1251.86,0,0.0475,1311.32
247,77,2022-03-18,62,2,,581.19,0,0.065,618.97
248,77,2022-03-18,1517,2,,866.34,0,0.0685,925.68
249,77,2022-03-18,106,2,,183.4,0,0.0625,194.86
250,77,2022-03-18,1575,2,,359.23,0,0.06,380.78
251,78,2022-03-19,460,2,,914.3,0,0.065,973.73
252,78,2022-03-19,295,1,,140.11,0,0.0725,150.27
253,78,2022-03-19,1213,1,,292.72,0,0.06,310.28
254,78,2022-03-19,1583,1,,242.32,0,0.065,258.07
255,79,2022-03-20,1112,1,,93.27,0,0.0575,98.63
256,79,2022-03-20,891,2,,236.5,0,0.065,251.87
257,79,2022-03-20,56,2,,1037.31,0,0.0685,1108.37
258,79,2022-03-20,135,1,,875.48,0,0.0635,931.07
259,80,2022-03-21,79,1,,630.32,0,0.08,680.75
260,80,2022-03-21,752,1,,838.77,0,0.045,876.51
261,80,2022-03-21,111,1,,951.8,0,0.06,1008.91
262,80,2022-03-21,1100,1,,1234.18,0,0.0685,1318.72
263,81,2022-03-22,632,3,,734.92,0,0.0635,781.59
264,81,2022-03-22,25,1,,542.44,0,0.06,574.99
265,81,2022-03-22,1704,3,,112.11,0,0.0685,119.79
266,81,2022-03-22,1295,2,,251.5,0,0.06,266.59
267,82,2022-03-23,1157,3,,193.05,0,0.06,204.63
268,82,2022-03-23,538,2,,715.66,0,0.065,762.18
269,82,2022-03-23,1938,2,,44.34,0,0.0685,47.38
270,82,2022-03-23,472,1,,1043.84,0,0.0725,1119.52
271,83,2022-03-24,1862,2,,283.7,0,0.045,296.47
272,83,2022-03-24,1554,1,,98.27,0,0.0625,104.41
273,83,2022-03-24,960,3,,216.51,0,0.0685,231.34
274,83,2022-03-24,1858,2,,998.07,0,0.06,1057.95
275,84,2022-03-25,1520,1,,321.19,0,0.08,346.89
276,84,2022-03-25,729,1,,132.59,0,0.0575,140.21
277,84,2022-03-25,731,1,,515.38,0,0.06,546.3
278,84,2022-03-25,897,1,,510.37,0,0,510.37
279,85,2022-03-26,623,2,,569.58,0,0.0725,610.87
280,85,2022-03-26,1325,1,,340.21,0,0.07,364.02
281,85,2022-03-26,277,3,,709.38,0,0.06875,758.15
282,85,2022-03-26,513,3,,488.98,0,0.06,518.32
283,86,2022-03-27,367,1,,278.76,0,0.06875,297.92
284,86,2022-03-27,140,2,,515.32,0,0.07,551.39
285,86,2022-03-27,655,3,,483.51,0,0.0635,514.21
286,86,2022-03-27,851,1,,1167.23,0,0.07,1248.94
287,87,2022-03-28,530,3,,486.22,0,0.0685,519.53
288,87,2022-03-28,1722,3,,547.47,0,0.0475,573.47
289,87,2022-03-28,1121,2,,825.54,0,0.08,891.58
290,87,2022-03-28,942,3,,133.06,0,0.05125,139.88
291,88,2022-03-29,1724,1,,416.41,0,0.0685,444.93
292,88,2022-03-29,399,1,,1429.2,0,0,1429.2
293,88,2022-03-29,230,1,,932.5,0,0.0625,990.78
294,88,2022-03-29,1736,1,,154.87,0,0.0635,164.7
295,89,2022-03-30,1375,2,,428.57,0,0.06,454.28
296,89,2022-03-30,263,1,,288.88,0,0.06875,308.74
297,89,2022-03-30,1271,3,,204.93,0,0.045,214.15
298,89,2022-03-30,477,1,,291.9,0,0.029,300.37
299,90,2022-03-31,1068,2,,839.84,0,0.0475,879.73
300,90,2022-03-31,1113,3,,323.11,0,0.06,342.5
301,90,2022-03-31,828,1,,375.28,0,0.06,397.8
302,90,2022-03-31,408,3,,789.75,0,0.0725,847.01
303,91,2022-04-01,900,2,,55.83,0,0.07,59.74
304,91,2022-04-01,1675,2,,312.6,0,0.0625,332.14
305,91,2022-04-01,168,1,,358.45,0,0.0635,381.21
306,91,2022-04-01,1943,3,,664.95,0,0.06875,710.67
307,92,2022-04-02,1275,1,,355.1,0,0.06,376.41
308,92,2022-04-02,1163,2,,226.47,0,0.06875,242.04
309,92,2022-04-02,1031,2,,267.28,0,0.04,277.97
310,92,2022-04-02,1743,1,,249.74,0,0.0445,260.85
311,93,2022-04-03,1602,3,,102.12,0,0,102.12
312,93,2022-04-03,1647,3,,618.45,0,0.029,636.39
313,93,2022-04-03,1740,1,,1210.2,0,0.0685,1293.1
314,93,2022-04-03,354,1,,1551.7,0,0.06,1644.8
315,94,2022-04-04,91,2,,218.79,0,0.08,236.29
316,94,2022-04-04,196,1,,1425.16,0,0.045,1489.29
317,94,2022-04-04,491,1,,767.57,0,0.0625,815.54
318,94,2022-04-04,417,3,,800.8,0,0.08,864.86
319,95,2022-04-05,116,1,,813.88,0,0.06875,869.83
320,95,2022-04-05,1996,2,,306.28,0,0.065,326.19
321,95,2022-04-05,239,2,,1680.48,0,0.05125,1766.6
322,95,2022-04-05,520,2,,89.34,0,0.0685,95.46
323,96,2022-04-06,1770,2,,23.93,0,0.0635,25.45
324,96,2022-04-06,905,2,,140.3,0,0.045,146.61
325,96,2022-04-06,845,2,,30.69,0,0.0685,32.79
326,96,2022-04-06,1429,1,,537.71,0,0.0635,571.85
327,97,2022-04-07,254,2,,734.51,0,0.04,763.89
328,97,2022-04-07,669,1,,346.56,0,0.056,365.97
329,97,2022-04-07,562,1,,808.8,0,0.06,857.33
330,97,2022-04-07,135,1,,1739.91,0,0.0635,1850.39
331,98,2022-04-08,341,3,,90.78,0,0.0725,97.36
332,98,2022-04-08,66,2,,161.9,0,0,161.9
333,98,2022-04-08,1785,1,,331.07,0,0.065,352.59
334,98,2022-04-08,949,3,,37.92,0,0.0625,40.29
335,99,2022-04-09,1782,3,,79.03,0,0.06,83.77
336,99,2022-04-09,482,2,,2018.79,0,0.0475,2114.68
337,99,2022-04-09,1857,1,,76.72,0,0.0685,81.98
338,99,2022-04-09,799,3,,198.71,0,0.065,211.63
339,100,2022-04-10,1230,3,,280.2,0,0.0625,297.71
340,100,2022-04-10,901,1,,215,0,0.06,227.9
341,100,2022-04-10,1089,2,,228.52,0,0.06,242.23
342,100,2022-04-10,1260,3,,66.17,0,0.0635,70.37
343,101,2022-04-11,1369,1,,738.4,0,0.0625,784.55
344,101,2022-04-11,414,1,,2507.83,0,0.0725,2689.65
345,101,2022-04-11,491,2,,1044.95,0,0.0625,1110.26
346,101,2022-04-11,104,1,,1402.95,0,0.029,1443.64
347,102,2022-04-12,1221,1,,673.31,0,0.0635,716.07
348,102,2022-04-12,1434,1,,409.62,0,0.06,434.2
349,102,2022-04-12,29,3,,1027.39,0,0.065,1094.17
350,102,2022-04-12,952,2,,979.47,0,0.0685,1046.56
351,103,2022-04-13,1759,2,,448.44,0,0.0635,476.92
352,103,2022-04-13,819,3,,174.11,0,0.0725,186.73
353,103,2022-04-13,781,3,,480.01,0,0.0625,510.01
354,103,2022-04-13,1876,1,,626.23,0,0,626.23
355,104,2022-04-14,1405,1,,617.74,0,0.0725,662.53
356,104,2022-04-14,9,3,,1388.21,0,0.06,1471.5
357,104,2022-04-14,1947,2,,630.49,0,0.04,655.71
358,104,2022-04-14,1379,1,,281.57,0,0.0635,299.45
359,105,2022-04-15,1032,1,,491.71,0,0.045,513.84
360,105,2022-04-15,1834,3,,503,0,0.045,525.63
361,105,2022-04-15,138,2,,421.65,0,0.065,449.06
362,105,2022-04-15,461,3,,295.4,0,0.07,316.08
363,106,2022-04-16,625,2,,943.75,0,0.04,981.5
364,106,2022-04-16,285,2,,1010.73,0,0.07,1081.48
365,106,2022-04-16,1380,1,,679.15,0,0.0685,725.67
366,106,2022-04-16,1701,2,,172.51,0,0.0635,183.46
367,107,2022-04-17,1658,1,,729.33,0,0,729.33
368,107,2022-04-17,133,1,,1621.49,0,0,1621.49
369,107,2022-04-17,1003,3,,144.01,0,0.0685,153.87
370,107,2022-04-17,686,1,,185.76,0,0.0625,197.37
371,108,2022-04-18,236,1,,1933.32,0,0.06875,2066.24
372,108,2022-04-18,1016,3,,219.46,0,0.065,233.72
373,108,2022-04-18,55,1,,1046.82,0,0.0625,1112.25
374,108,2022-04-18,1015,2,,75.12,0,0.0445,78.46
375,109,2022-04-19,516,2,,450.57,0,0.05125,473.66
376,109,2022-04-19,1765,2,,205.79,0,0.0625,218.65
377,109,2022-04-19,1157,1,,25.8,0,0.06,27.35
378,109,2022-04-19,1243,3,,572.42,0,0.0485,600.18
379,110,2022-04-20,1115,1,,1010.47,0,0.065,1076.15
380,110,2022-04-20,1202,2,,15.27,0,0.06,16.19
381,110,2022-04-20,603,1,,613.84,0,0.06,650.67
382,110,2022-04-20,1393,1,,233.92,0,0.04,243.28
383,111,2022-04-21,957,2,,18.2,0,0.06,19.29
384,111,2022-04-21,782,1,,810.68,0,0.0445,846.76
385,111,2022-04-21,1761,2,,98.27,0,0.0625,104.41
386,111,2022-04-21,1517,1,,168.28,0,0.0685,179.81
387,112,2022-04-22,1276,2,,140.44,0,0,140.44
388,112,2022-04-22,1838,1,,678.77,0,0.06,719.5
389,112,2022-04-22,1434,1,,299.36,0,0.06,317.32
390,112,2022-04-22,1295,3,,1890.27,0,0.06,2003.69
391,113,2022-04-23,362,2,,1109.52,0,0.08,1198.28
392,113,2022-04-23,1474,2,,666.77,0,0.0635,709.11
393,113,2022-04-23,1319,3,,674.37,0,0.045,704.72
394,113,2022-04-23,477,1,,709.16,0,0.029,729.73
395,114,2022-04-24,357,2,,402.42,0,0.0485,421.94
396,114,2022-04-24,631,1,,344.82,0,0.045,360.34
397,114,2022-04-24,1604,1,,101.22,0,0.065,107.8
398,114,2022-04-24,1981,1,,138.97,0,0.0445,145.15
399,115,2022-04-25,1345,3,,86.42,0,0.0685,92.34
400,115,2022-04-25,635,2,,297.8,0,0.0725,319.39
401,115,2022-04-25,1814,1,,116.49,0,0.0725,124.94
402,115,2022-04-25,17,2,,726.7,0,0.0685,776.48
403,116,2022-04-26,1493,1,,337.92,0,0.065,359.88
404,116,2022-04-26,1330,2,,318.4,0,0.045,332.73
405,116,2022-04-26,125,1,,1523.7,0,0,1523.7
406,116,2022-04-26,132,1,,615.62,0,0.0625,654.1
407,117,2022-04-27,103,1,,562.31,0,0.0445,587.33
408,117,2022-04-27,406,3,,716.63,0,0.0625,761.42
409,117,2022-04-27,778,2,,429.55,0,0.065,457.47
410,117,2022-04-27,1665,2,,339.85,0,0.06,360.24
411,118,2022-04-28,1135,1,,190.56,0,0.0485,199.8
412,118,2022-04-28,215,1,,144.8,0,0.0445,151.24
413,118,2022-04-28,102,2,,422.77,0,0.06,448.14
414,118,2022-04-28,1595,1,,75.08,0,0.04,78.08
415,119,2022-04-29,647,1,,545.75,0,0.045,570.31
416,119,2022-04-29,1158,1,,737.35,0,0.06,781.59
417,119,2022-04-29,473,1,,1715.82,0,0.06,1818.77
418,119,2022-04-29,370,3,,774.1,0,0.08,836.03
419,120,2022-04-30,1919,1,,154.37,0,0.029,158.85
420,120,2022-04-30,1203,1,,62.71,0,0.0625,66.63
421,120,2022-04-30,826,2,,502.04,0,0,502.04
422,120,2022-04-30,328,3,,735.25,0,0.065,783.04
423,121,2022-05-01,1335,3,,28.8,0,0.06,30.53
424,121,2022-05-01,465,1,,1004.71,0,0.0725,1077.55
425,121,2022-05-01,1443,2,,478.83,0,0.0575,506.36
426,121,2022-05-01,1855,1,,36.4,0,0.0725,39.04
427,122,2022-05-02,47,2,,1214.19,0,0.045,1268.83
428,122,2022-05-02,786,2,,617.48,0,0.06,654.53
429,122,2022-05-02,181,2,,7.55,0,0.04,7.85
430,122,2022-05-02,1801,3,,230.97,0,0.07,247.14
431,123,2022-05-03,1662,2,,128.04,0,0.04,133.16
432,123,2022-05-03,1806,3,,719,0,0.056,759.26
433,123,2022-05-03,136,2,,188.98,0,0.065,201.26
434,123,2022-05-03,1330,3,,1222.12,0,0.045,1277.12
435,124,2022-05-04,1558,3,,312.98,0,0.06,331.76
436,124,2022-05-04,1201,3,,183.88,0,0.06,194.91
437,124,2022-05-04,938,3,,244.01,0,0.05125,256.52
438,124,2022-05-04,925,1,,102.22,0,0.06,108.35
439,125,2022-05-05,577,1,,1565.14,0,0.0685,1672.35
440,125,2022-05-05,1038,2,,55.83,0,0.029,57.45
441,125,2022-05-05,1932,3,,117.04,0,0.07,125.23
442,125,2022-05-05,114,1,,951.4,0,0.05125,1000.16
443,126,2022-05-06,1196,2,,276.6,0,0.0625,293.89
444,126,2022-05-06,1941,1,,1286.68,0,0,1286.68
