SourceName,Month,Year,BaseCost,SpikeCost,MonthlyCost,IsSpike
GitHub,2024-03,2024,1200,0,1200,No
Indeed,2024-03,2024,2500,0,2500,No
LinkedIn,2024-04,2024,8400,0,8400,No
Job Board,2024-04,2024,2900,0,2900,No
Agency,2024-04,2024,15400,0,15400,No
Career Site,2024-04,2024,800,0,800,No
GitHub,2024-04,2024,1200,0,1200,No
Indeed,2024-04,2024,2500,0,2500,No
LinkedIn,2024-05,2024,8400,0,8400,No
Job Board,2024-05,2024,2900,0,2900,No
Agency,2024-05,2024,15400,0,15400,No
Career Site,2024-05,2024,800,0,800,No
GitHub,2024-05,2024,1200,0,1200,No
Indeed,2024-05,2024,2500,0,2500,No
LinkedIn,2024-06,2024,8400,0,8400,No
Job Board,2024-06,2024,2900,0,2900,No
Agency,2024-06,2024,15400,0,15400,No
Career Site,2024-06,2024,800,0,800,No
GitHub,2024-06,2024,1200,0,1200,No
Indeed,2024-06,2024,2500,0,2500,No
LinkedIn,2024-07,2024,8400,0,8400,No
Job Board,2024-07,2024,2900,0,2900,No
Agency,2024-07,2024,15400,0,15400,No
Career Site,2024-07,2024,800,0,800,No
GitHub,2024-07,2024,1200,0,1200,No
Indeed,2024-07,2024,2500,0,2500,No
LinkedIn,2024-08,2024,8400,0,8400,No
Job Board,2024-08,2024,2900,0,2900,No
Agency,2024-08,2024,15400,0,15400,No
Career Site,2024-08,2024,800,0,800,No
GitHub,2024-08,2024,1200,0,1200,No
Indeed,2024-08,2024,2500,0,2500,No
LinkedIn,2024-09,2024,8400,3800,12200,Yes
Job Board,2024-09,2024,2900,0,2900,No
Agency,2024-09,2024,15400,6600,22000,Yes
Career Site,2024-09,2024,800,0,800,No
GitHub,2024-09,2024,1200,0,1200,No
Indeed,2024-09,2024,2500,0,2500,No
LinkedIn,2024-10,2024,8400,0,8400,No
Job Board,2024-10,2024,2900,0,2900,No
Agency,2024-10,2024,15400,0,15400,No
Career Site,2024-10,2024,800,0,800,No
GitHub,2024-10,2024,1200,0,1200,No
Indeed,2024-10,2024,2500,0,2500,No
LinkedIn,2024-11,2024,8400,0,8400,No
Job Board,2024-11,2024,2900,0,2900,No
Agency,2024-11,2024,15400,0,15400,No
Career Site,2024-11,2024,800,0,800,No
GitHub,2024-11,2024,1200,0,1200,No
Indeed,2024-11,2024,2500,0,2500,No
LinkedIn,2024-12,2024,8400,0,8400,No
Job Board,2024-12,2024,2900,0,2900,No
Agency,2024-12,2024,15400,0,15400,No
Career Site,2024-12,2024,800,0,800,No
GitHub,2024-12,2024,1200,0,1200,No
Indeed,2024-12,2024,2500,0,2500,No
LinkedIn,2025-01,2025,9100,0,9100,No
Job Board,2025-01,2025,3100,0,3100,No
Agency,2025-01,2025,16900,0,16900,No
Career Site,2025-01,2025,800,0,800,No
GitHub,2025-01,2025,1200,900,2100,Yes
Indeed,2025-01,2025,2600,0,2600,No
LinkedIn,2025-02,2025,9100,0,9100,No
Job Board,2025-02,2025,3100,0,3100,No
Agency,2025-02,2025,16900,7300,24200,Yes
Career Site,2025-02,2025,800,0,800,No
GitHub,2025-02,2025,1200,0,1200,No
Indeed,2025-02,2025,2600,0,2600,No
LinkedIn,2025-03,2025,9100,4100,13200,Yes
Job Board,2025-03,2025,3100,0,3100,No
Agency,2025-03,2025,16900,0,16900,No
Career Site,2025-03,2025,800,0,800,No
GitHub,2025-03,2025,1200,0,1200,No
Indeed,2025-03,2025,2600,0,2600,No
LinkedIn,2025-04,2025,9100,0,9100,No
Job Board,2025-04,2025,3100,0,3100,No
Agency,2025-04,2025,16900,0,16900,No
Career Site,2025-04,2025,800,0,800,No
GitHub,2025-04,2025,1200,0,1200,No
Indeed,2025-04,2025,2600,0,2600,No
LinkedIn,2025-05,2025,9100,0,9100,No
Job Board,2025-05,2025,3100,0,3100,No
Agency,2025-05,2025,16900,0,16900,No
Career Site,2025-05,2025,800,0,800,No
GitHub,2025-05,2025,1200,0,1200,No
Indeed,2025-05,2025,2600,0,2600,No
LinkedIn,2025-06,2025,9100,0,9100,No
Job Board,2025-06,2025,3100,1300,4400,Yes
Agency,2025-06,2025,16900,0,16900,No
Career Site,2025-06,2025,800,0,800,No
GitHub,2025-06,2025,1200,0,1200,No
Indeed,2025-06,2025,2600,0,2600,No
LinkedIn,2025-07,2025,9100,0,9100,No
Job Board,2025-07,2025,3100,0,3100,No
Agency,2025-07,2025,16900,0,16900,No
Career Site,2025-07,2025,800,0,800,No
GitHub,2025-07,2025,1200,0,1200,No
Indeed,2025-07,2025,2600,0,2600,No
LinkedIn,2025-08,2025,9100,0,9100,No
Job Board,2025-08,2025,3100,0,3100,No
Agency,2025-08,2025,16900,0,16900,No
Career Site,2025-08,2025,800,0,800,No
GitHub,2025-08,2025,1200,0,1200,No
Indeed,2025-08,2025,2600,0,2600,No
LinkedIn,2025-09,2025,9100,0,9100,No
Job Board,2025-09,2025,3100,0,3100,No
Agency,2025-09,2025,16900,7300,24200,Yes
Career Site,2025-09,2025,800,0,800,No
GitHub,2025-09,2025,1200,0,1200,No
Indeed,2025-09,2025,2600,0,2600,No
LinkedIn,2025-10,2025,9100,0,9100,No
Job Board,2025-10,2025,3100,0,3100,No
Agency,2025-10,2025,16900,0,16900,No
Career Site,2025-10,2025,800,0,800,No
GitHub,2025-10,2025,1200,0,1200,No
Indeed,2025-10,2025,2600,0,2600,No
LinkedIn,2025-11,2025,9100,0,9100,No
Job Board,2025-11,2025,3100,0,3100,No
Agency,2025-11,2025,16900,0,16900,No
Career Site,2025-11,2025,800,0,800,No
GitHub,2025-11,2025,1200,0,1200,No
Indeed,2025-11,2025,2600,1100,3700,Yes
LinkedIn,2025-12,2025,9100,0,9100,No
Job Board,2025-12,2025,3100,0,3100,No
Agency,2025-12,2025,16900,0,16900,No
Career Site,2025-12,2025,800,0,800,No
GitHub,2025-12,2025,1200,0,1200,No
Indeed,2025-12,2025,2600,0,2600,No
LinkedIn,2026-01,2026,9800,0,9800,No
Job Board,2026-01,2026,3200,0,3200,No
Agency,2026-01,2026,18600,0,18600,No
Career Site,2026-01,2026,800,0,800,No
GitHub,2026-01,2026,1300,0,1300,No
Indeed,2026-01,2026,2800,0,2800,No
LinkedIn,2026-02,2026,9800,0,9800,No
Job Board,2026-02,2026,3200,0,3200,No
Agency,2026-02,2026,18600,0,18600,No
Career Site,2026-02,2026,800,0,800,No
GitHub,2026-02,2026,1300,0,1300,No
Indeed,2026-02,2026,2800,0,2800,No
LinkedIn,2026-03,2026,9800,0,9800,No
Job Board,2026-03,2026,3200,0,3200,No
Agency,2026-03,2026,18600,0,18600,No
Career Site,2026-03,2026,800,0,800,No
GitHub,2026-03,2026,1300,0,1300,No
Indeed,2026-03,2026,2800,0,2800,No
