return_detail_id,return_id,product_id,qty,reason,unit_return_amount
60,60,2,3,Defective product,82.57
61,61,12,1,Size/fit issue,245.2
62,62,62,1,Quality not as expected,142.74
63,63,12,1,Wrong item received,245.2
64,64,44,2,Gift return,21.52
65,65,30,1,Quality not as expected,24.01
66,66,54,1,Changed mind,29.72
67,67,28,2,Quality not as expected,145.59
68,68,91,1,Gift return,33.88
69,69,76,1,Wrong item received,62.73
70,70,51,1,Not as described,18.92
71,71,98,3,Size/fit issue,65.92
72,72,11,1,Size/fit issue,39.61
73,73,20,3,Duplicate order,71.83
74,74,2,1,Duplicate order,77.82
75,75,11,3,Gift return,39.61
76,76,23,4,Defective product,32.19
77,77,11,2,Size/fit issue,34.86
78,78,89,1,Defective product,58.76
79,79,6,1,Better price found,106.17
80,80,31,1,Quality not as expected,49.85
81,81,80,1,Gift return,205.25
82,82,31,3,Damaged in shipping,45.1
83,83,80,1,Quality not as expected,202.4
84,84,74,2,Defective product,204.25
85,85,64,1,Size/fit issue,62.86
86,86,37,2,Better price found,22.73
87,87,8,2,Defective product,184.25
88,88,12,4,Duplicate order,245.2
89,89,19,1,Changed mind,196.78
90,90,6,1,Duplicate order,120.42
91,91,75,1,Defective product,42.44
92,92,85,1,Not as described,17.23
93,93,1,1,Better price found,183.4
94,94,1,2,Defective product,183.4
95,95,18,1,Changed mind,88.61
96,96,29,1,Size/fit issue,133.09
97,97,14,1,Changed mind,88.75
98,98,1,1,Changed mind,183.4
99,99,13,1,Damaged in shipping,147.84
100,100,2,3,Duplicate order,77.82
101,101,47,1,Better price found,75.36
102,102,6,1,Gift return,106.17
103,103,4,5,Changed mind,80.11
104,104,22,5,Duplicate order,132.02
105,105,17,1,Defective product,83.99
106,106,9,1,Wrong item received,53.99
107,107,19,1,Duplicate order,182.53
108,108,13,2,Changed mind,147.84
109,109,18,1,Wrong item received,88.61
110,110,25,1,Damaged in shipping,119.98
111,111,93,1,Not as described,28.35
112,112,76,2,Size/fit issue,59.88
113,113,12,1,Wrong item received,230.95
114,114,62,2,Duplicate order,142.74
115,115,65,1,Damaged in shipping,146.65
116,116,22,1,Defective product,141.52
117,117,82,2,Gift return,19.95
118,118,32,2,Defective product,162.74
119,119,26,2,Changed mind,60.94
120,120,95,1,Defective product,20.79
121,121,51,1,Better price found,18.92
122,122,67,5,Size/fit issue,78.9
123,123,94,1,Size/fit issue,35.03
124,124,40,2,Better price found,126.84
125,125,75,1,Not as described,48.14
126,126,59,4,Not as described,53.04
127,127,35,2,Gift return,30.71
128,128,44,1,Wrong item received,38.62
129,129,24,2,Size/fit issue,101.75
130,130,61,1,Gift return,63.51
131,131,9,2,Gift return,53.99
132,132,67,1,Defective product,78.9
133,133,71,1,Better price found,17.84
134,134,28,1,Not as described,145.59
135,135,1,1,Wrong item received,178.65
136,136,17,1,Gift return,83.99
137,137,60,1,Damaged in shipping,17.29
138,138,25,1,Not as described,129.48
139,139,9,1,Better price found,53.99
140,140,73,2,Changed mind,188.74
141,141,14,3,Defective product,74.5
142,142,62,1,Gift return,142.74
143,143,16,1,Quality not as expected,115.67
144,144,25,1,Damaged in shipping,119.98
145,145,59,1,Changed mind,70.14
146,146,89,1,Not as described,58.76
147,147,23,1,Better price found,46.44
148,148,21,1,Quality not as expected,69.18
149,149,19,1,Better price found,182.53
150,150,53,1,Changed mind,42.47
151,151,21,1,Not as described,69.18
152,152,67,2,Better price found,78.9
153,153,43,2,Damaged in shipping,12.04
154,154,48,1,Changed mind,43.12
155,155,75,3,Gift return,48.14
156,156,11,1,Quality not as expected,39.61
157,157,57,1,Changed mind,55.46
158,158,41,2,Defective product,21.53
159,159,6,1,Better price found,106.17
160,160,20,1,Not as described,71.83
161,161,2,1,Changed mind,77.82
162,162,49,1,Duplicate order,36.75
163,163,37,2,Size/fit issue,22.73
164,164,90,1,Changed mind,36.2
165,165,19,4,Changed mind,196.78
166,166,20,1,Better price found,71.83
167,167,3,1,Gift return,140.21
168,168,24,1,Wrong item received,101.75
169,169,73,2,Wrong item received,185.89
170,170,1,1,Wrong item received,178.65
171,171,67,1,Defective product,78.9
172,172,8,1,Gift return,184.25
173,173,83,2,Size/fit issue,33.29
174,174,32,3,Duplicate order,176.99
175,175,81,1,Not as described,58.03
176,176,35,1,Better price found,30.71
177,177,12,1,Changed mind,245.2
178,178,19,1,Not as described,196.78
179,179,15,1,Changed mind,167.4
180,180,18,3,Gift return,93.36
181,181,9,1,Wrong item received,58.74
182,182,8,1,Defective product,184.25
183,183,19,1,Better price found,182.53
184,184,66,1,Duplicate order,25.06
185,185,8,3,Better price found,174.75
186,186,64,1,Better price found,62.86
187,187,56,2,Better price found,38.27
188,188,27,3,Defective product,7.17
189,189,33,1,Size/fit issue,48.95
190,190,30,1,Defective product,24.01
191,191,36,3,Duplicate order,14.75
192,192,3,2,Better price found,140.21
193,193,13,1,Duplicate order,138.34
194,194,18,2,Not as described,88.61
195,195,56,1,Quality not as expected,55.37
196,196,15,5,Changed mind,153.15
197,197,18,2,Quality not as expected,88.61
198,198,85,1,Wrong item received,4.74
199,199,23,4,Not as described,32.19
200,200,55,1,Quality not as expected,16.37
201,201,71,3,Wrong item received,17.84
202,202,18,4,Gift return,88.61
203,203,12,1,Defective product,245.2
204,204,20,1,Damaged in shipping,71.83
205,205,38,2,Gift return,155.9
206,206,2,1,Gift return,82.57
207,207,10,1,Changed mind,238.92
208,208,6,1,Size/fit issue,106.17
209,209,12,1,Quality not as expected,245.2
210,210,7,1,Gift return,48.51
211,211,44,3,Wrong item received,21.52
212,212,3,2,Wrong item received,125.96
213,213,23,1,Changed mind,36.94
214,214,5,1,Duplicate order,81.9
215,215,79,3,Duplicate order,144.03
216,216,46,1,Changed mind,66.71
217,217,4,1,Wrong item received,80.11
218,218,39,1,Wrong item received,65.34
219,219,62,5,Size/fit issue,145.59
220,220,35,2,Size/fit issue,25.96
221,221,27,2,Defective product,7.17
222,222,60,2,Gift return,17.29
223,223,10,1,Damaged in shipping,238.92
224,224,8,1,Wrong item received,174.75
225,225,77,3,Quality not as expected,180.78
226,226,32,1,Quality not as expected,176.99
227,227,18,1,Defective product,88.61
228,228,22,2,Not as described,132.02
229,229,5,3,Damaged in shipping,77.15
230,230,17,1,Quality not as expected,79.24
231,231,67,1,Better price found,78.9
232,232,42,3,Size/fit issue,68.99
233,233,34,1,Better price found,84.58
234,234,46,2,Damaged in shipping,83.81
235,235,51,1,Defective product,49.32
236,236,76,1,Wrong item received,62.73
237,237,3,2,Better price found,140.21
238,238,43,3,Defective product,12.04
239,239,71,1,Wrong item received,17.84
240,240,9,1,Changed mind,58.74
241,241,30,2,Not as described,14.51
242,242,5,2,Wrong item received,77.15
243,243,72,1,Not as described,145.57
244,244,73,1,Changed mind,185.89
245,245,34,2,Gift return,84.58
246,246,7,3,Changed mind,48.51
247,247,20,1,Damaged in shipping,71.83
248,248,16,1,Damaged in shipping,129.92
249,249,70,1,Not as described,122.86
250,250,91,4,Duplicate order,33.88
251,251,18,1,Not as described,88.61
252,252,79,3,Gift return,144.03
253,253,84,2,Gift return,36.44
254,254,91,1,Duplicate order,33.88
255,255,28,1,Changed mind,150.34
256,256,4,1,Defective product,94.36
257,257,21,3,Not as described,64.43
258,258,62,2,Damaged in shipping,139.89
259,259,75,2,Wrong item received,42.44
260,260,84,1,Gift return,47.84
261,261,2,2,Defective product,77.82
262,262,51,2,Not as described,36.02
263,263,59,1,Changed mind,53.04
264,264,1,1,Quality not as expected,178.65
265,265,99,1,Size/fit issue,47.03
266,266,69,1,Not as described,24.51
267,267,61,1,Damaged in shipping,63.51
268,268,13,2,Changed mind,147.84
269,269,63,2,Quality not as expected,62.26
270,270,80,4,Quality not as expected,202.4
271,271,20,1,Quality not as expected,57.58
272,272,19,1,Size/fit issue,182.53
273,273,98,1,Size/fit issue,79.22
274,274,16,1,Not as described,115.67
275,275,2,2,Quality not as expected,82.57
276,276,87,1,Better price found,74.54
277,277,79,4,Wrong item received,144.03
278,278,23,2,Not as described,36.94
279,279,70,2,Size/fit issue,125.71
280,280,4,2,Damaged in shipping,84.86
281,281,77,5,Better price found,180.78
282,282,73,2,Gift return,183.04
283,283,1,3,Damaged in shipping,178.65
284,284,71,1,Changed mind,17.84
285,285,16,2,Gift return,115.67
286,286,12,2,Not as described,245.2
287,287,83,3,Gift return,33.29
288,288,21,1,Duplicate order,64.43
289,289,60,1,Wrong item received,17.29
290,290,62,1,Size/fit issue,142.74
291,291,26,1,Gift return,65.69
292,292,34,1,Duplicate order,75.08
293,293,40,1,Quality not as expected,126.84
294,294,74,1,Size/fit issue,201.4
295,295,7,1,Not as described,53.26
296,296,15,2,Size/fit issue,153.15
297,297,6,1,Damaged in shipping,120.42
298,298,70,1,Not as described,122.86
299,299,51,1,Size/fit issue,36.02
300,300,78,5,Not as described,79.26
301,301,11,1,Changed mind,34.86
302,302,77,1,Damaged in shipping,180.78
303,303,23,1,Defective product,36.94
304,304,78,1,Wrong item received,79.26
305,305,25,1,Duplicate order,129.48
306,306,70,2,Defective product,122.86
307,307,11,1,Not as described,39.61
308,308,23,1,Not as described,46.44
309,309,73,2,Duplicate order,183.04
310,310,37,1,Quality not as expected,17.98
311,311,81,4,Gift return,59.93
312,312,58,1,Damaged in shipping,58.15
313,313,91,1,Size/fit issue,22.48
314,314,18,1,Wrong item received,88.61
315,315,70,1,Better price found,122.86
316,316,36,1,Gift return,10.0
317,317,10,1,Quality not as expected,224.67
318,318,16,1,Not as described,115.67
319,319,91,2,Defective product,33.88
320,320,40,2,Better price found,126.84
321,321,65,2,Damaged in shipping,146.65
322,322,11,1,Duplicate order,39.61
323,323,4,1,Better price found,94.36
324,324,34,2,Changed mind,75.08
325,325,74,1,Changed mind,201.4
326,326,13,2,Changed mind,133.59
327,327,98,2,Gift return,79.22
328,328,20,4,Changed mind,71.83
329,329,13,3,Better price found,147.84
330,330,4,1,Wrong item received,80.11
331,331,71,2,Damaged in shipping,17.84
332,332,9,1,Wrong item received,53.99
333,333,70,1,Not as described,122.86
334,334,24,1,Size/fit issue,116.0
335,335,8,1,Not as described,174.75
336,336,2,2,Duplicate order,82.57
337,337,18,1,Defective product,93.36
338,338,79,2,Damaged in shipping,141.18
339,339,36,1,Gift return,24.25
340,340,29,1,Duplicate order,133.09
341,341,71,1,Damaged in shipping,14.99
342,342,64,1,Changed mind,62.86
343,343,29,3,Wrong item received,133.09
344,344,51,2,Duplicate order,49.32
345,345,66,1,Gift return,25.06
346,346,24,1,Defective product,101.75
347,347,15,1,Wrong item received,153.15
348,348,37,4,Changed mind,17.98
349,349,47,3,Not as described,75.36
350,350,93,2,Duplicate order,28.35
351,351,64,3,Gift return,62.86
352,352,89,1,Duplicate order,56.86
353,353,71,5,Damaged in shipping,17.84
354,354,41,2,Quality not as expected,21.53
355,355,7,2,Not as described,48.51
356,356,17,1,Gift return,79.24
357,357,34,1,Changed mind,84.58
358,358,29,1,Duplicate order,133.09
359,359,30,1,Duplicate order,9.76
360,360,57,1,Wrong item received,55.46
361,361,35,4,Changed mind,30.71
362,362,33,2,Better price found,63.2
363,363,39,2,Not as described,51.09
364,364,93,1,Defective product,26.45
365,365,19,1,Defective product,196.78
366,366,96,2,Changed mind,87.82
367,367,7,1,Damaged in shipping,48.51
368,368,18,1,Damaged in shipping,93.36
369,369,5,1,Not as described,77.15
370,370,17,1,Gift return,83.99
371,371,79,2,Better price found,144.03
372,372,11,1,Defective product,39.61
373,373,12,1,Changed mind,230.95
374,374,67,5,Size/fit issue,78.9
375,375,89,2,Better price found,70.16
376,376,79,3,Defective product,138.33
377,377,64,2,Not as described,62.86
378,378,16,3,Damaged in shipping,120.42
379,379,70,1,Defective product,125.71
380,380,54,1,Duplicate order,12.62
381,381,58,2,Damaged in shipping,41.05
382,382,36,1,Quality not as expected,10.0
383,383,10,2,Better price found,224.67
384,384,1,1,Defective product,178.65
385,385,9,1,Gift return,53.99
386,386,9,2,Size/fit issue,53.99
387,387,17,1,Changed mind,79.24
388,388,1,2,Better price found,183.4
389,389,92,2,Size/fit issue,71.01
390,390,57,2,Damaged in shipping,42.16
391,391,6,4,Gift return,106.17
392,392,7,1,Gift return,48.51
393,393,18,1,Wrong item received,93.36
394,394,67,2,Size/fit issue,78.9
395,395,49,2,Wrong item received,36.75
396,396,14,1,Wrong item received,88.75
397,397,90,1,Duplicate order,36.2
398,398,13,1,Defective product,147.84
399,399,19,1,Better price found,196.78
400,400,12,4,Duplicate order,230.95
401,401,5,1,Duplicate order,77.15
402,402,76,2,Gift return,62.73
403,403,15,2,Changed mind,153.15
404,404,2,3,Changed mind,77.82
405,405,80,1,Changed mind,202.4
406,406,80,4,Duplicate order,202.4
407,407,52,2,Duplicate order,62.31
408,408,47,1,Quality not as expected,92.46
409,409,70,1,Damaged in shipping,122.86
410,410,16,1,Quality not as expected,115.67
411,411,16,1,Not as described,115.67
412,412,46,2,Not as described,66.71
413,413,29,1,Duplicate order,142.59
414,414,47,2,Better price found,75.36
415,415,34,1,Not as described,75.08
416,416,72,2,Quality not as expected,145.57
417,417,11,1,Quality not as expected,34.86
418,418,38,1,Better price found,155.9
419,419,23,1,Quality not as expected,46.44
420,420,19,2,Not as described,182.53
421,421,11,4,Wrong item received,39.61
422,422,69,3,Duplicate order,21.66
423,423,22,2,Better price found,141.52
424,424,4,1,Duplicate order,80.11
425,425,64,1,Damaged in shipping,62.86
426,426,40,1,Wrong item received,136.34
427,427,67,1,Defective product,73.2
428,428,53,3,Duplicate order,42.47
429,429,79,1,Wrong item received,141.18
430,430,19,2,Better price found,196.78
431,431,69,1,Duplicate order,21.66
432,432,67,2,Gift return,73.2
433,433,6,1,Wrong item received,106.17
434,434,58,1,Wrong item received,58.15
435,435,25,1,Not as described,129.48
436,436,5,1,Gift return,77.15
437,437,35,1,Size/fit issue,30.71
438,438,92,1,Damaged in shipping,57.71
439,439,21,2,Duplicate order,64.43
440,440,6,2,Quality not as expected,120.42
441,441,44,2,Duplicate order,38.62
442,442,54,1,Gift return,12.62
443,443,6,1,Wrong item received,120.42
444,444,2,2,Not as described,82.57
445,445,70,1,Damaged in shipping,122.86
446,446,17,2,Changed mind,79.24
447,447,3,1,Wrong item received,140.21
448,448,5,1,Better price found,77.15
449,449,13,1,Duplicate order,133.59
450,450,46,1,Quality not as expected,66.71
451,451,52,1,Changed mind,92.71
452,452,56,1,Duplicate order,55.37
453,453,7,1,Wrong item received,48.51
454,454,53,2,Better price found,42.47
455,455,64,2,Gift return,68.56
456,456,34,1,Gift return,75.08
457,457,6,4,Size/fit issue,120.42
458,458,72,2,Wrong item received,145.57
459,459,41,1,Duplicate order,21.53
460,460,14,1,Gift return,88.75
461,461,64,1,Duplicate order,68.56
462,462,66,1,Quality not as expected,25.06
463,463,38,1,Duplicate order,165.4
464,464,68,1,Damaged in shipping,157.38
465,465,32,2,Duplicate order,176.99
466,466,67,1,Quality not as expected,73.2
467,467,80,1,Wrong item received,202.4
468,468,72,2,Duplicate order,145.57
469,469,39,1,Quality not as expected,51.09
470,470,54,1,Quality not as expected,12.62
471,471,76,1,Size/fit issue,62.73
472,472,69,1,Quality not as expected,24.51
473,473,80,3,Quality not as expected,202.4
474,474,18,2,Size/fit issue,88.61
475,475,39,1,Not as described,65.34
476,476,7,1,Changed mind,53.26
477,477,14,2,Better price found,88.75
478,478,12,1,Duplicate order,245.2
479,479,82,4,Changed mind,31.35
480,480,73,1,Duplicate order,185.89
481,481,8,1,Duplicate order,174.75
482,482,2,1,Duplicate order,82.57
483,483,73,2,Better price found,183.04
484,484,36,1,Wrong item received,24.25
485,485,37,1,Wrong item received,17.98
486,486,93,2,Duplicate order,28.35
487,487,21,1,Better price found,64.43
488,488,7,1,Gift return,53.26
489,489,7,1,Wrong item received,48.51
490,490,12,1,Damaged in shipping,230.95
491,491,79,1,Wrong item received,144.03
492,492,6,1,Wrong item received,106.17
493,493,74,1,Changed mind,204.25
494,494,34,1,Changed mind,75.08
495,495,20,3,Gift return,71.83
496,496,52,2,Defective product,62.31
497,497,7,1,Size/fit issue,48.51
498,498,18,1,Changed mind,88.61
499,499,85,1,Better price found,17.23
500,500,18,1,Not as described,88.61
501,501,20,1,Changed mind,62.33
502,502,62,1,Quality not as expected,145.59
503,503,7,1,Better price found,53.26
504,504,49,1,Quality not as expected,36.75
505,505,98,1,Better price found,79.22
506,506,41,3,Size/fit issue,21.53
507,507,11,1,Defective product,34.86
508,508,30,3,Changed mind,9.76
509,509,30,2,Duplicate order,14.51
510,510,71,5,Gift return,14.99
511,511,7,1,Size/fit issue,48.51
512,512,66,2,Wrong item received,27.91
513,513,1,1,Quality not as expected,178.65
514,514,75,2,Better price found,45.29
515,515,36,1,Gift return,14.75
516,516,6,1,Gift return,106.17
517,517,77,1,Duplicate order,180.78
518,518,77,1,Changed mind,180.78
519,519,33,1,Quality not as expected,53.7
520,520,59,1,Wrong item received,70.14
521,521,11,1,Size/fit issue,39.61
522,522,11,1,Wrong item received,39.61
523,523,5,1,Wrong item received,77.15
524,524,30,1,Damaged in shipping,24.01
525,525,26,2,Not as described,65.69
526,526,54,1,Wrong item received,12.62
527,527,29,1,Size/fit issue,128.34
528,528,2,1,Wrong item received,82.57
529,529,39,1,Changed mind,51.09
530,530,15,1,Better price found,153.15
531,531,47,1,Damaged in shipping,92.46
532,532,14,1,Changed mind,74.5
533,533,2,1,Size/fit issue,77.82
534,534,73,1,Better price found,188.74
535,535,4,1,Quality not as expected,94.36
536,536,13,1,Changed mind,138.34
537,537,72,4,Duplicate order,145.57
538,538,67,1,Changed mind,78.9
539,539,71,1,Gift return,17.84
540,540,32,1,Not as described,167.49
541,541,54,1,Changed mind,29.72
542,542,70,1,Better price found,125.71
543,543,16,2,Gift return,115.67
544,544,27,1,Gift return,21.42
545,545,18,1,Changed mind,93.36
546,546,10,1,Gift return,224.67
547,547,32,2,Gift return,162.74
548,548,79,1,Duplicate order,138.33
549,549,47,2,Not as described,92.46
550,550,14,3,Size/fit issue,79.25
551,551,22,2,Better price found,132.02
552,552,15,2,Quality not as expected,153.15
553,553,65,1,Not as described,146.65
554,554,24,1,Quality not as expected,101.75
555,555,7,2,Wrong item received,48.51
556,556,80,1,Better price found,205.25
557,557,16,5,Better price found,129.92
558,558,79,1,Not as described,141.18
559,559,70,1,Changed mind,125.71
560,560,59,3,Defective product,83.44
561,561,7,1,Better price found,48.51
562,562,12,2,Not as described,230.95
563,563,18,1,Changed mind,88.61
564,564,85,1,Defective product,17.23
565,565,5,4,Wrong item received,81.9
566,566,70,1,Not as described,125.71
567,567,100,4,Defective product,40.22
568,568,13,4,Quality not as expected,133.59
569,569,96,2,Defective product,87.82
570,570,14,1,Changed mind,88.75
571,571,16,1,Gift return,115.67
572,572,14,2,Duplicate order,79.25
573,573,99,1,Changed mind,47.03
574,574,8,1,Better price found,184.25
575,575,65,1,Damaged in shipping,146.65
576,576,46,1,Not as described,97.11
577,577,78,2,Better price found,76.41
578,578,5,1,Damaged in shipping,81.9
579,579,23,1,Not as described,32.19
580,580,1,4,Quality not as expected,183.4
581,581,7,3,Changed mind,48.51
582,582,17,1,Damaged in shipping,83.99
583,583,33,1,Changed mind,53.7
584,584,8,1,Quality not as expected,184.25
585,585,74,3,Wrong item received,201.4
586,586,3,2,Size/fit issue,140.21
587,587,44,5,Not as described,38.62
588,588,43,1,Gift return,42.44
589,589,90,4,Size/fit issue,49.5
590,590,38,2,Size/fit issue,165.4
591,591,36,3,Changed mind,14.75
592,592,12,1,Size/fit issue,245.2
593,593,38,3,Damaged in shipping,155.9
594,594,63,4,Defective product,62.26
595,595,6,2,Better price found,106.17
596,596,10,3,Not as described,224.67
597,597,35,2,Gift return,30.71
598,598,7,3,Gift return,48.51
599,599,87,2,Changed mind,63.14
600,600,31,1,Gift return,49.85
601,601,20,1,Wrong item received,62.33
602,602,93,1,Wrong item received,28.35
603,603,54,1,Damaged in shipping,12.62
604,604,86,3,Size/fit issue,81.42
605,605,56,1,Gift return,68.67
606,606,17,1,Damaged in shipping,83.99
607,607,73,1,Not as described,183.04
608,608,62,1,Better price found,142.74
609,609,68,1,Damaged in shipping,160.23
610,610,52,2,Not as described,92.71
611,611,8,3,Quality not as expected,184.25
612,612,15,3,Size/fit issue,167.4
613,613,74,5,Quality not as expected,201.4
614,614,3,1,Wrong item received,140.21
615,615,7,1,Wrong item received,53.26
616,616,65,1,Duplicate order,143.8
617,617,62,2,Quality not as expected,145.59
618,618,4,4,Damaged in shipping,94.36
619,619,85,1,Wrong item received,4.74
620,620,12,2,Size/fit issue,230.95
621,621,81,4,Wrong item received,58.03
622,622,4,1,Changed mind,80.11
623,623,8,1,Not as described,174.75
624,624,1,1,Quality not as expected,178.65
625,625,20,3,Defective product,71.83
626,626,70,2,Damaged in shipping,125.71
627,627,25,1,Duplicate order,119.98
628,628,10,1,Gift return,224.67
629,629,66,1,Quality not as expected,25.06
630,630,46,1,Better price found,83.81
631,631,13,1,Quality not as expected,133.59
632,632,42,1,Size/fit issue,68.99
633,633,13,1,Size/fit issue,147.84
634,634,53,2,Damaged in shipping,42.47
635,635,31,2,Gift return,45.1
636,636,1,1,Not as described,183.4
637,637,21,2,Wrong item received,64.43
638,638,45,1,Wrong item received,45.08
639,639,84,1,Size/fit issue,47.84
640,640,33,3,Damaged in shipping,63.2
641,641,73,3,Not as described,185.89
642,642,2,2,Not as described,77.82
643,643,36,1,Quality not as expected,10.0
644,644,28,1,Quality not as expected,145.59
645,645,63,3,Changed mind,62.26
646,646,73,1,Quality not as expected,183.04
647,647,4,2,Duplicate order,80.11
648,648,13,1,Not as described,133.59
649,649,27,1,Defective product,7.17
650,650,29,3,Defective product,133.09
651,651,80,1,Duplicate order,202.4
652,652,24,2,Defective product,116.0
653,653,71,2,Gift return,17.84
654,654,2,2,Better price found,77.82
655,655,49,5,Size/fit issue,19.65
656,656,67,1,Damaged in shipping,78.9
657,657,66,1,Size/fit issue,30.76
658,658,18,2,Damaged in shipping,93.36
659,659,2,1,Better price found,77.82
660,660,27,2,Defective product,21.42
661,661,34,1,Duplicate order,75.08
662,662,80,3,Not as described,202.4
663,663,77,1,Gift return,180.78
664,664,36,1,Defective product,14.75
665,665,10,2,Duplicate order,229.42
666,666,15,1,Damaged in shipping,153.15
667,667,25,1,Wrong item received,119.98
668,668,74,1,Defective product,204.25
669,669,65,1,Better price found,146.65
670,670,65,2,Defective product,143.8
671,671,19,2,Better price found,182.53
672,672,51,5,Better price found,18.92
673,673,25,1,Size/fit issue,129.48
674,674,38,1,Gift return,155.9
675,675,79,1,Defective product,138.33
676,676,17,1,Better price found,83.99
677,677,1,2,Wrong item received,178.65
678,678,18,1,Better price found,88.61
679,679,63,1,Wrong item received,62.26
680,680,5,1,Defective product,81.9
681,681,69,1,Better price found,24.51
682,682,5,1,Quality not as expected,77.15
683,683,51,2,Size/fit issue,18.92
684,684,1,1,Not as described,183.4
685,685,61,1,Duplicate order,63.51
686,686,89,2,Not as described,70.16
687,687,22,2,Size/fit issue,141.52
688,688,13,2,Size/fit issue,133.59
689,689,17,1,Duplicate order,79.24
690,690,13,1,Damaged in shipping,147.84
691,691,16,1,Gift return,120.42
692,692,8,3,Quality not as expected,174.75
693,693,77,3,Defective product,180.78
694,694,74,1,Defective product,201.4
695,695,55,1,Gift return,16.37
696,696,23,1,Size/fit issue,32.19
697,697,14,2,Quality not as expected,88.75
698,698,18,1,Changed mind,93.36
699,699,57,3,Size/fit issue,42.16
700,700,4,3,Not as described,94.36
701,701,81,3,Duplicate order,59.93
702,702,69,2,Defective product,21.66
703,703,5,1,Size/fit issue,81.9
704,704,50,1,Quality not as expected,92.47
705,705,69,2,Not as described,24.51
706,706,43,2,Changed mind,12.04
707,707,4,5,Damaged in shipping,80.11
708,708,81,1,Duplicate order,71.33
709,709,16,1,Defective product,115.67
710,710,62,1,Damaged in shipping,145.59
711,711,19,2,Wrong item received,196.78
712,712,27,3,Wrong item received,7.17
713,713,15,2,Wrong item received,167.4
714,714,14,1,Gift return,74.5
715,715,23,3,Quality not as expected,36.94
716,716,88,1,Defective product,43.13
717,717,30,1,Gift return,14.51
718,718,4,1,Wrong item received,84.86
719,719,22,3,Quality not as expected,132.02
720,720,20,1,Gift return,57.58
721,721,8,3,Changed mind,184.25
722,722,2,2,Gift return,82.57
723,723,26,1,Damaged in shipping,65.69
724,724,37,1,Better price found,17.98
725,725,22,1,Damaged in shipping,141.52
726,726,17,1,Changed mind,83.99
727,727,12,1,Not as described,245.2
728,728,66,1,Wrong item received,27.91
729,729,36,1,Better price found,24.25
730,730,29,2,Size/fit issue,128.34
731,731,28,1,Not as described,150.34
732,732,36,1,Quality not as expected,24.25
733,733,34,3,Not as described,75.08
734,734,83,1,Duplicate order,31.39
735,735,38,1,Not as described,151.15
736,736,5,1,Duplicate order,81.9
737,737,74,1,Quality not as expected,201.4
738,738,71,1,Damaged in shipping,14.99
739,739,92,1,Size/fit issue,71.01
740,740,79,1,Wrong item received,138.33
741,741,25,2,Better price found,119.98
742,742,92,1,Duplicate order,71.01
743,743,68,1,Defective product,157.38
744,744,22,2,Defective product,141.52
745,745,6,1,Gift return,120.42
746,746,44,1,Defective product,21.52
747,747,19,1,Better price found,182.53
748,748,81,1,Wrong item received,71.33
749,749,17,1,Quality not as expected,83.99
750,750,58,1,Wrong item received,41.05
751,751,22,2,Gift return,141.52
752,752,25,1,Gift return,119.98
753,753,80,2,Not as described,202.4
754,754,75,1,Better price found,42.44
755,755,66,1,Changed mind,25.06
