variant_id,product_id,variant_type,variant_name,unit_cost,unit_price
198,69,Size,M/L,14.96,25.8
199,70,Color,Black,76.75,132.33
200,70,Size,S/M,75.01,129.33
201,71,Size,S/M,9.15,15.78
202,71,Size,M/L,10.89,18.78
203,71,Color,Black,10.89,18.78
204,72,Size,L/XL,90.61,156.23
205,72,Color,Black,88.87,153.23
206,73,Size,M/L,113.49,195.67
207,73,Size,S/M,111.75,192.67
208,73,Size,L/XL,115.23,198.67
209,74,Color,Black,124.7,215.0
210,74,Size,S/M,122.96,212.0
211,75,Color,Black,27.65,47.67
212,75,Size,L/XL,29.39,50.67
213,75,Size,S/M,25.91,44.67
214,76,Color,Black,38.3,66.03
215,76,Size,S/M,36.56,63.03
216,77,Size,M/L,110.37,190.3
217,77,Color,Black,110.37,190.3
218,78,Size,M/L,48.39,83.43
219,78,Size,S/M,46.65,80.43
220,79,Size,L/XL,87.93,151.61
221,79,Size,M/L,86.19,148.61
222,79,Size,S/M,84.45,145.61
223,80,Size,L/XL,125.31,216.05
224,80,Color,Black,123.57,213.05
225,80,Size,M/L,123.57,213.05
226,81,Age,6-8,35.43,61.08
227,81,Edition,Standard,36.59,63.08
228,81,Age,9-12,36.59,63.08
229,81,Edition,Deluxe,43.55,75.08
230,82,Edition,Standard,12.18,21.0
231,82,Age,9-12,12.18,21.0
232,82,Edition,Deluxe,19.14,33.0
233,83,Age,9-12,20.32,35.04
234,83,Age,6-8,19.16,33.04
235,83,Edition,Standard,20.32,35.04
236,84,Edition,Deluxe,29.21,50.36
237,84,Age,9-12,22.25,38.36
238,84,Edition,Standard,22.25,38.36
239,84,Age,6-8,21.09,36.36
240,85,Edition,Deluxe,10.52,18.14
241,85,Age,9-12,3.56,6.14
242,85,Age,6-8,2.89,4.99
243,85,Edition,Standard,3.56,6.14
244,86,Age,6-8,48.55,83.71
245,86,Age,9-12,49.71,85.71
246,86,Edition,Standard,49.71,85.71
247,87,Age,6-8,37.39,64.46
248,87,Age,9-12,38.55,66.46
249,87,Edition,Deluxe,45.51,78.46
250,88,Edition,Deluxe,26.33,45.4
251,88,Edition,Standard,19.37,33.4
252,88,Age,9-12,19.37,33.4
253,89,Edition,Deluxe,42.83,73.85
254,89,Age,6-8,34.71,59.85
255,89,Age,9-12,35.87,61.85
256,90,Age,6-8,22.1,38.11
257,90,Edition,Deluxe,30.22,52.11
258,91,Age,6-8,12.56,21.66
259,91,Edition,Deluxe,20.68,35.66
260,91,Age,9-12,13.72,23.66
261,91,Edition,Standard,13.72,23.66
262,92,Age,9-12,36.4,62.75
263,92,Age,6-8,35.24,60.75
264,92,Edition,Standard,36.4,62.75
265,92,Edition,Deluxe,43.36,74.75
266,93,Age,6-8,16.15,27.84
267,93,Edition,Standard,17.31,29.84
268,93,Age,9-12,17.31,29.84
269,93,Edition,Deluxe,24.27,41.84
270,94,Edition,Deluxe,21.38,36.87
271,94,Edition,Standard,14.42,24.87
272,95,Edition,Standard,5.73,9.88
273,95,Edition,Deluxe,12.69,21.88
274,95,Age,6-8,4.57,7.88
275,96,Edition,Deluxe,53.62,92.44
276,96,Age,6-8,45.5,78.44
277,96,Age,9-12,46.66,80.44
278,96,Edition,Standard,46.66,80.44
279,97,Edition,Standard,22.95,39.57
280,97,Age,9-12,22.95,39.57
281,98,Edition,Deluxe,48.37,83.39
282,98,Age,6-8,40.25,69.39
283,99,Edition,Deluxe,35.68,61.51
284,99,Edition,Standard,28.72,49.51
285,100,Age,6-8,24.56,42.34
286,100,Edition,Deluxe,32.68,56.34
287,100,Age,9-12,25.72,44.34
